ObjectID            RA                  DEC                 z_match             Imag                Imag_error          Classification
107464              53.14043045         -27.74210548        2.2384              25.318              0.06                 1                  
107500              53.15240479         -27.74249458        3.3663              25.997              0.074                1                  
107512              53.06396866         -27.74216461        1.84056             24.316              0.023                1                  
107574              53.12744141         -27.7422657         3.0002              25.226              0.058                1                  
107660              53.10108566         -27.74210548        3.5503              25.845              0.067                1                  
107663              53.14638901         -27.74127769        3.4152              25.544              0.053                1                  
107766              53.12746811         -27.74177361        2.7409              25.397              0.084                1                  
107904              53.1626091          -27.73900032        1.93292             23.304              0.023                1                  
107994              53.09234619         -27.74090004        1.7041              25.21               0.05                 1                  
108033              53.06480026         -27.74095726        2.4744              24.731              0.03                 1                  
108038              53.16168976         -27.74099541        2.6879              25.433              0.051                1                  
108047              53.11468887         -27.74066734        2.7733              25.438              0.057                1                  
108133              53.04245758         -27.73786163        2.3036              23.633              0.016                1                  
108254              53.09254074         -27.74080849        1.6158              25.802              0.073                1                  
108319              53.04734039         -27.7401619         1.8785              25.154              0.043                1                  
108348              53.11175919         -27.74015427        1.613               23.678              0.015                1                  
108362              53.08063889         -27.73961639        2.01922             24.241              0.028                1                  
108385              53.10269547         -27.73546219        1.901               22.996              0.015                1                  
10840               53.14933777         -27.92809105        2.7317              25.037              0.045                1                  
108465              53.1061058          -27.74031639        3.6572              25.814              0.062                1                  
108531              53.16295242         -27.73933029        1.7377              24.404              0.041                1                  
108548              53.10477448         -27.74005318        2.2531              25.752              0.056                1                  
108553              53.04785156         -27.7398262         3.0631              24.534              0.027                1                  
108750              53.05174637         -27.73911095        1.6723              25.772              0.078                1                  
108833              53.10891342         -27.73858833        2.0213              24.192              0.025                1                  
108869              53.10705185         -27.73897171        1.6527              25.61               0.054                1                  
108913              53.11637878         -27.73920631        3.1215              25.055              0.032                1                  
108947              53.04546738         -27.7374897         1.615               22.295              0.007                1                  
108959              53.13525391         -27.73888969        3.2979              25.503              0.057                1                  
108961              53.05091858         -27.7389164         1.613               24.479              0.032                1                  
109016              53.09539413         -27.73762512        1.90955             24.716              0.031                1                  
109046              53.1588707          -27.73805618        2.5421              25.063              0.043                1                  
109138              53.10870743         -27.73853874        1.5704              25.172              0.037                1                  
109197              53.07329178         -27.73842239        2.9812              25.402              0.052                1                  
109238              53.09883118         -27.73659134        1.77                23.032              0.016                1                  
109276              53.09769821         -27.73837471        2.5994              25.836              0.06                 1                  
109428              53.10135651         -27.73766136        2.3817              25.866              0.073                1                  
109442              53.05791855         -27.73767853        1.7664              25.692              0.062                1                  
109482              53.10303497         -27.73749161        2.6034              24.904              0.035                1                  
109527              53.08786011         -27.73763657        2.1261              25.702              0.054                1                  
109536              53.08972549         -27.73765182        2.8851              25.342              0.07                 1                  
109562              53.08946228         -27.73741913        2.7179              25.222              0.058                1                  
109617              53.13170242         -27.7374382         3.4364              25.568              0.047                1                  
109637              53.12382889         -27.73629761        1.9392              22.688              0.01                 1                  
109650              53.09104919         -27.73620605        2.0073              24.697              0.047                1                  
109725              53.05321884         -27.73549843        1.56639             25.477              0.061                1                  
109945              53.06045532         -27.73651886        1.6388              25.685              0.052                1                  
109971              53.15521622         -27.73635292        1.7838              25.98               0.069                1                  
109983              53.12060928         -27.73658562        3.261               24.683              0.025                1                  
110055              53.12152481         -27.73625565        2.4407              25.959              0.064                1                  
110080              53.06245422         -27.73551941        2.6557              24.849              0.04                 1                  
110120              53.09199524         -27.73547363        1.6267              25.217              0.067                1                  
110156              53.06578064         -27.73617744        2.8888              25.991              0.074                1                  
110188              53.10007477         -27.73561668        1.61                24.213              0.021                1                  
110306              53.04323959         -27.73550224        1.8139              24.724              0.028                1                  
110508              53.09779739         -27.73500633        1.9325              25.174              0.041                1                  
110619              53.12110901         -27.73493767        2.0835              25.979              0.06                 1                  
110650              53.09903336         -27.73440933        2.6847              24.671              0.032                1                  
110788              53.05187988         -27.73403549        2.18038             25.045              0.043                1                  
11079               53.14887238         -27.92837715        2.7393              25.737              0.059                1                  
110824              53.08734131         -27.73418617        1.96092             25.324              0.05                 1                  
110829              53.0484314          -27.73444366        1.5629              25.264              0.039                1                  
111090              53.08758163         -27.7336998         2.506               25.865              0.058                1                  
111146              53.04587173         -27.7336731         3.3748              25.84               0.059                1                  
111416              53.06500244         -27.7326889         2.5186              24.46               0.024                1                  
111452              53.13644028         -27.73291206        3.0242              25.467              0.057                1                  
111466              53.11434174         -27.73250961        3.3856              25.44               0.053                1                  
111478              53.1004982          -27.73282433        1.5629              25.932              0.066                1                  
111559              53.12828827         -27.73283577        3.6036              25.739              0.048                1                  
111611              53.06021881         -27.73074722        1.62085             24.963              0.041                1                  
111657              53.13403702         -27.73216629        1.6736              24.944              0.069                1                  
111732              53.08047104         -27.73205185        1.775               25.634              0.058                1                  
111743              53.10077286         -27.73231506        1.7031              25.855              0.058                1                  
111753              53.0928688          -27.7315979         1.8694              25.346              0.075                1                  
111791              53.14374924         -27.7321167         3.4301              25.403              0.047                1                  
111876              53.13585281         -27.73194885        1.7142              25.852              0.077                1                  
111879              53.09251404         -27.73120499        1.6057              25.284              0.07                 1                  
111884              53.15179825         -27.73068237        3.7279              25.75               0.085                1                  
111893              53.11336136         -27.73049355        2.2379              25.766              0.077                1                  
111916              53.06871414         -27.73152351        2.284               25.114              0.037                1                  
111948              53.03884125         -27.73178673        2.9851              25.912              0.092                1                  
111970              53.078022           -27.73101997        2.56263             24.076              0.024                1                  
112147              53.11737442         -27.7313118         3.5477              25.379              0.065                1                  
112176              53.1438446          -27.73122025        1.69                25.582              0.061                1                  
112253              53.13135147         -27.73079491        2.278               24.442              0.025                1                  
112318              53.07130432         -27.72835159        1.57153             24.256              0.03                 1                  
112370              53.09607697         -27.73088074        1.7065              25.61               0.051                1                  
112407              53.07559586         -27.73081589        2.3752              25.72               0.053                1                  
112490              53.10911179         -27.73018837        2.6827              25.452              0.065                1                  
112564              53.06010056         -27.72960281        3.4574              25.984              0.085                1                  
112634              53.1443367          -27.72977638        2.50608             24.518              0.033                1                  
112639              53.12687683         -27.73015785        1.6028              24.936              0.036                1                  
112673              53.10406113         -27.72924995        1.6636              25.028              0.053                1                  
112691              53.08613586         -27.72907639        1.9516              25.258              0.058                1                  
112773              53.08723068         -27.72953606        3.4386              24.509              0.026                1                  
112805              53.11010361         -27.72958374        3.3593              25.087              0.036                1                  
112843              53.10992432         -27.72957993        3.5631              25.041              0.034                1                  
112986              53.14369583         -27.72936058        3.7039              25.835              0.067                1                  
112997              53.08325958         -27.72860527        3.3655              25.413              0.048                1                  
113072              53.08077621         -27.72883224        2.2638              25.736              0.06                 1                  
113091              53.04671097         -27.72870064        1.80527             24.034              0.02                 1                  
113132              53.05672073         -27.72893333        1.6552              25.37               0.05                 1                  
113291              53.06845856         -27.72825623        2.5724              25.12               0.045                1                  
113317              53.04428482         -27.7281971         2.59304             24.061              0.021                1                  
113351              53.13128662         -27.72854805        2.1189              25.13               0.044                1                  
113359              53.04328918         -27.72713089        1.99367             23.63               0.021                1                  
113416              53.06832123         -27.72801971        2.5298              25.085              0.04                 1                  
113442              53.0592041          -27.72680092        1.6032              25.715              0.062                1                  
113447              53.0642395          -27.72762108        1.60127             25.921              0.126                1                  
113492              53.03764343         -27.72724915        2.2855              25.599              0.071                1                  
113547              53.12172318         -27.7278614         3.3303              25.658              0.056                1                  
113580              53.15208817         -27.7279644         1.7223              25.726              0.066                1                  
113595              53.09142685         -27.72742844        2.3715              24.544              0.029                1                  
113611              53.14448929         -27.72807121        2.292               25.269              0.038                1                  
113612              53.15172577         -27.72773743        1.99517             24.794              0.038                1                  
113726              53.12503433         -27.72725487        2.0395              25.867              0.074                1                  
