ObjectID            RA                  DEC                 z_match             Imag                Imag_error          Classification
102712              189.31959534        62.29721832         3.38                25.983              0.065               1                   
102972              189.30117798        62.30086899         2.24463             24.267              0.023               1                   
103079              189.25588989        62.29819107         2.9801              25.686              0.055               1                   
103093              189.37191772        62.29808807         2.5064              25.668              0.052               1                   
103121              189.24391174        62.29833221         2.7683              25.511              0.057               1                   
103140              189.40827942        62.30061722         2.6119              25.19               0.047               1                   
103141              189.35455322        62.29836655         2.2207              25.395              0.05                1                   
103210              189.24702454        62.29848099         3.0634              24.656              0.028               1                   
103403              189.3039856         62.29869461         3.0025              25.392              0.045               1                   
103431              189.35455322        62.29836655         2.2207              25.728              0.051               1                   
103557              189.41320801        62.2992897          1.6677              25.764              0.071               1                   
103613              189.29699707        62.29917908         1.56639             25.695              0.056               1                   
103706              189.41288757        62.29962158         1.8047              24.445              0.026               1                   
103722              189.42974854        62.29901123         2.1901              25.36               0.04                1                   
103918              189.41288757        62.29962158         1.8047              25.178              0.036               1                   
103956              189.37550354        62.29957581         3.3695              25.834              0.067               1                   
104003              189.27642822        62.29953766         2.4103              25.73               0.056               1                   
104010              189.31733704        62.29964447         2.8697              25.031              0.032               1                   
104219              189.42739868        62.30019379         2.2274              25.302              0.048               1                   
104432              189.36444092        62.30013275         3.4746              25.735              0.049               1                   
104458              189.275177          62.30065918         2.8045              24.653              0.034               1                   
104483              189.29792786        62.3006134          3.0273              25.06               0.039               1                   
104515              189.32647705        62.30105209         1.584               25.784              0.059               1                   
104517              189.38861084        62.30025101         1.7495              25.848              0.054               1                   
104577              189.34213257        62.30038452         2.0025              25.99               0.071               1                   
104618              189.37345886        62.30135345         3.2275              25.437              0.062               1                   
104803              189.43759155        62.30096054         1.718               25.091              0.046               1                   
104818              189.31109619        62.30126572         1.85479             24.574              0.027               1                   
104993              189.24046326        62.30135345         2.2595              25.311              0.038               1                   
105108              189.31518555        62.30187225         2.30852             24.947              0.033               1                   
105120              189.335495          62.30156326         2.755               25.604              0.069               1                   
105239              189.33561707        62.3017807          1.7012              25.253              0.038               1                   
105401              189.42720032        62.30330658         2.3046              21.485              0.005               1                   
105430              189.33189392        62.30225754         2.6013              25.827              0.079               1                   
105484              189.38183594        62.30234528         1.8035              25.363              0.048               1                   
105530              189.35882568        62.30199814         2.1218              25.751              0.058               1                   
105656              189.39341736        62.30331802         2.3911              25.058              0.076               1                   
105713              189.26948547        62.30259323         1.6054              25.439              0.045               1                   
105809              189.37203979        62.30246353         1.5584              25.743              0.055               1                   
105826              189.35295105        62.30273056         2.33009             24.888              0.031               1                   
105838              189.33744812        62.30275726         1.8874              25.264              0.04                1                   
105879              189.25637817        62.30276871         2.3945              25.951              0.057               1                   
105974              189.26817322        62.30284882         1.6042              25.948              0.059               1                   
106009              189.30407715        62.30296326         2.0805              25.648              0.05                1                   
106042              189.34555054        62.30319977         3.1098              25.683              0.065               1                   
106125              189.37843323        62.30342865         2.6887              25.416              0.038               1                   
106282              189.3420105         62.30343628         3.5198              25.418              0.04                1                   
106319              189.28875732        62.30347061         1.5572              25.927              0.064               1                   
106357              189.38801575        62.3040123          2.2923              25.818              0.073               1                   
106376              189.29216003        62.3041153          1.7275              25.168              0.036               1                   
106408              189.39610291        62.30400085         2.1517              25.051              0.037               1                   
106673              189.42311096        62.30415344         1.7178              25.342              0.045               1                   
106760              189.36746216        62.30418396         3.2083              25.822              0.055               1                   
106803              189.34968567        62.30429077         3.0139              25.93               0.059               1                   
106899              189.32757568        62.3043251          2.7519              25.968              0.076               1                   
106902              189.34944153        62.30417252         3.1828              25.876              0.052               1                   
107306              189.35205078        62.30496597         2.3674              24.971              0.031               1                   
107405              189.32138062        62.30550385         3.3865              24.954              0.037               1                   
107490              189.38014221        62.30540848         2.0799              25.79               0.056               1                   
107583              189.25543213        62.30552673         2.3717              25.792              0.053               1                   
107617              189.43333435        62.30635452         1.8073              23.777              0.019               1                   
107626              189.27716064        62.30590439         1.726               25.094              0.05                1                   
107677              189.26425171        62.30576706         2.3469              25.469              0.047               1                   
107711              189.28877258        62.30564499         1.6271              25.638              0.048               1                   
108066              189.36427307        62.30644989         1.7077              25.694              0.057               1                   
108235              189.37301636        62.30722046         2.044               24.649              0.029               1                   
108436              189.3690033         62.30702209         1.9932              25.053              0.038               1                   
108451              189.33145142        62.3069458          2.7224              25.294              0.037               1                   
108453              189.36239624        62.30681229         3.5466              25.754              0.056               1                   
108515              189.39823914        62.30698395         2.1676              24.556              0.024               1                   
108544              189.36857605        62.30693817         2.161               25.774              0.053               1                   
108655              189.29338074        62.30721664         3.003               25.308              0.045               1                   
108795              189.34806824        62.30772018         2.7885              25.217              0.045               1                   
108897              189.34011841        62.30760193         3.0783              25.67               0.059               1                   
108909              189.42478943        62.30738068         1.7622              25.97               0.059               1                   
109094              189.40367126        62.3085289          3.1652              25.357              0.053               1                   
109106              189.279953          62.30840683         2.299               24.411              0.027               1                   
109194              189.43327332        62.30830765         2.5343              25.334              0.046               1                   
109246              189.40550232        62.30844116         1.6233              24.285              0.027               1                   
109296              189.33992004        62.30851364         1.97279             24.471              0.024               1                   
109517              189.31292725        62.30861664         3.5586              25.084              0.036               1                   
109525              189.27549744        62.31007767         1.965               24.981              0.042               1                   
109582              189.42927551        62.31173706         3.2119              24.39               0.034               1                   
109591              189.35023499        62.30929565         3.21437             24.712              0.036               1                   
109650              189.35813904        62.30909348         2.1255              24.576              0.025               1                   
109756              189.35813904        62.30884933         1.6072              25.916              0.058               1                   
109762              189.36288452        62.30925751         2.8305              25.191              0.047               1                   
109773              189.39163208        62.30968475         1.6937              24.394              0.03                1                   
109803              189.34927368        62.30932236         3.1682              24.84               0.036               1                   
109820              189.41676331        62.30955887         1.9379              25.276              0.043               1                   
110024              189.40936279        62.3091011          3.6278              25.994              0.054               1                   
110171              189.37701416        62.30964661         3.0367              25.005              0.034               1                   
110416              189.3903656         62.30980682         2.0037              25.924              0.064               1                   
110498              189.28152466        62.31030273         1.8934              25.872              0.063               1                   
110662              189.40112305        62.31090927         1.6147              24.671              0.029               1                   
110671              189.43617249        62.3106041          1.6525              24.607              0.03                1                   
110852              189.2702179         62.31073761         1.6986              25.277              0.04                1                   
110935              189.31117249        62.31094742         3.383               25.312              0.047               1                   
111047              189.38156128        62.31156921         1.67113             24.578              0.029               1                   
111109              189.33657837        62.31148529         1.8522              24.995              0.037               1                   
111140              189.38198853        62.31125259         1.8475              25.459              0.046               1                   
111592              189.2756958         62.3122673          2.40928             23.882              0.017               1                   
111593              189.40039062        62.31180954         2.73                25.841              0.059               1                   
111625              189.33587646        62.31297684         3.4345              24.683              0.033               1                   
111662              189.37322998        62.31208038         2.24                25.613              0.053               1                   
111682              189.39070129        62.31285095         2.099               23.834              0.018               1                   
111787              189.364151          62.31241608         1.6207              25.708              0.058               1                   
111990              189.39126587        62.31303787         2.1908              24.654              0.034               1                   
112098              189.29388428        62.31345367         1.80948             25.853              0.081               1                   
112177              189.43930054        62.31272125         1.5794              25.739              0.054               1                   
112230              189.39126587        62.31303787         2.1908              25.966              0.062               1                   
112500              189.28549194        62.31338882         1.6089              25.82               0.051               1                   
112523              189.42585754        62.31407928         1.9451              25.907              0.089               1                   
112757              189.32530212        62.31442261         2.10496             24.727              0.033               1                   
112764              189.32452393        62.31546021         2.237               22.56               0.008               1                   
112988              189.40242004        62.31502151         1.6344              24.352              0.036               1                   
113058              189.41351318        62.31551361         1.7832              25.078              0.06                1                   
113241              189.39222717        62.31542969         3.4082              25.259              0.051               1                   
113309              189.36161804        62.31637192         1.5883              25.468              0.062               1                   
113311              189.33859253        62.31503677         3.0601              25.778              0.069               1                   
113413              189.35440063        62.31520081         1.6806              25.96               0.071               1                   
113465              189.28800964        62.31523514         1.9458              25.213              0.037               1                   
113481              189.43676758        62.31480789         2.1049              25.138              0.034               1                   
113635              189.3195343         62.31538773         1.822               25.967              0.076               1                   
113670              189.3084259         62.31591034         1.6713              24.678              0.028               1                   
113729              189.32794189        62.31561279         2.7488              24.984              0.037               1                   
113897              189.35881042        62.31580353         1.59607             24.217              0.02                1                   
113924              189.30944824        62.31589127         2.298               24.925              0.044               1                   
113979              189.29658508        62.31573868         2.1397              25.661              0.053               1                   
114030              189.41783142        62.31614685         1.7181              25.115              0.056               1                   
114041              189.30917358        62.31633377         2.3251              24.622              0.028               1                   
114369              189.3427124         62.3169136          2.48337             24.408              0.024               1                   
114495              189.33251953        62.31629562         3.0375              25.624              0.07                1                   
114575              189.3348999         62.31739426         1.56896             23.639              0.017               1                   
114595              189.30499268        62.31718445         2.12052             24.625              0.034               1                   
114712              189.37727356        62.31669235         2.1778              24.939              0.032               1                   
114812              189.35728455        62.31708527         2.7491              25.453              0.054               1                   
114862              189.35018921        62.31727219         1.80808             24.979              0.042               1                   
114872              189.43806458        62.31850433         2.7496              24.166              0.027               1                   
115122              189.35049438        62.31804276         2.0952              23.45               0.014               1                   
115368              189.40821838        62.3177948          2.0686              25.744              0.085               1                   
115413              189.32382202        62.31803131         3.7961              24.799              0.033               1                   
115590              189.29397583        62.31775284         1.9246              25.681              0.047               1                   
115651              189.37918091        62.31800079         1.6096              25.173              0.043               1                   
115747              189.35049438        62.31804276         2.0952              24.85               0.027               1                   
115788              189.29031372        62.31840897         2.4849              25.829              0.071               1                   
115851              189.33944702        62.31912613         1.9847              24.87               0.032               1                   
115858              189.3805542         62.31801987         1.6194              25.848              0.054               1                   
115911              189.31451416        62.31832504         2.1963              25.072              0.036               1                   
116107              189.35232544        62.3185997          3.238               25.818              0.087               1                   
116204              189.29411316        62.31880188         1.6739              25.473              0.044               1                   
116286              189.35641479        62.31945801         2.18834             24.238              0.027               1                   
116296              189.41986084        62.31905365         2.1144              25.196              0.047               1                   
116316              189.41139221        62.32172012         2.2691              25.225              0.047               1                   
116394              189.36982727        62.31949997         1.6052              24.956              0.036               1                   
116456              189.38595581        62.31966782         1.987               24.73               0.037               1                   
116641              189.34721375        62.31990433         2.0715              25.342              0.053               1                   
116803              189.38595581        62.31966782         1.987               25.478              0.051               1                   
117013              189.39535522        62.32121658         2.67297             24.3                0.033               1                   
117164              189.41070557        62.31996155         3.2441              25.975              0.06                1                   
117466              189.32164001        62.32094193         3.0858              25.812              0.063               1                   
117522              189.37240601        62.32136917         2.2472              25.665              0.069               1                   
117598              189.4289093         62.32123947         2.0025              25.158              0.042               1                   
117806              189.40682983        62.32186508         2.23006             25.412              0.053               1                   
117896              189.40167236        62.32211685         2.0586              25.399              0.055               1                   
118031              189.40263367        62.32191086         3.392               25.82               0.066               1                   
118076              189.3180542         62.32235336         2.1231              23.871              0.016               1                   
118156              189.33091736        62.32218933         2.3103              25.675              0.048               1                   
118407              189.33348083        62.32304001         2.3049              24.457              0.024               1                   
118412              189.37254333        62.3228302          1.6156              25.933              0.067               1                   
118436              189.33346558        62.32333374         2.30686             24.712              0.035               1                   
